event_uuid,Date,Event_Year,Event,Discipline,Competition,Competitor,Birth_Year,Club,Country,Stage,Rank,Total,Mark,Elements,Execution,T,H,D,athlete_number,routine_number,bonus,penalty,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,l,a,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,rules,is_complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame A Individuel,Anouchka Van Haaren,2005,Springteam Nordjylland,DEN,Final,2,46.89,46.89,10,17.8,13.99,9.7,5.4,1,1,0,0,1,2,1,2,2,3,3,2,2,4,0,0,1615,1475,1390,1375,1385,1385,1360,1325,1400,1280,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame A Individuel,Ea Bennike Mürsch,2009,Roskilde Gymnastikforening,DEN,Qualification_1,2,49.275,49.275,10,14.6,14.175,9.2,11.3,1,1,0,0,6,4,6,4,6,6,6,4,4,6,2,0,1505,1540,1415,1460,1410,1395,1380,1375,1385,1310,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame A Individuel,Ea Bennike Mürsch,2009,Roskilde Gymnastikforening,DEN,Qualification_2,2,49.275,49.26,10,14.7,14.16,9.1,11.3,1,2,0,0,4,4,6,4,6,8,6,5,4,6,0,0,1510,1535,1455,1470,1410,1385,1365,1340,1370,1320,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame A Individuel,Anouchka Van Haaren,2005,Springteam Nordjylland,DEN,Qualification_1,3,47.2,47.2,10,18.1,14.1,9.6,5.4,1,1,0,0,1,1,0,2,3,3,3,2,1,3,0,0,1610,1470,1385,1375,1385,1380,1355,1365,1455,1320,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame A Individuel,Anouchka Van Haaren,2005,Springteam Nordjylland,DEN,Qualification_2,3,47.2,47.005,10,17.9,14.205,9.5,5.4,1,2,0,0,0,2,1,2,3,3,4,2,2,2,0,0,1615,1485,1410,1420,1415,1400,1360,1370,1420,1310,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame A Individuel,Smilla Thea Jensen,2003,KTK,DEN,Final,1,52.25,52.25,10,15.5,14.35,9.4,13,1,1,0,0,5,4,6,4,5,4,3,4,4,6,0,0,1570,1535,1460,1460,1410,1460,1435,1365,1345,1310,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame A Individuel,Ea Bennike Mürsch,2009,Roskilde Gymnastikforening,DEN,Final,3,14.45,14.45,3,4.3,4.45,2.6,3.1,1,1,0,0,6,4,7,0,0,0,0,0,0,0,0,0,1510,1525,1415,NA,NA,NA,NA,NA,NA,NA,TRA FIG 2022,Incomplete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame A Individuel,Smilla Thea Jensen,2003,KTK,DEN,Qualification_1,1,51.115,51.115,10,14.6,14.715,9.4,12.4,1,1,0,0,4,6,6,5,4,3,4,5,5,7,5,0,1570,1510,1440,1480,1475,1495,1475,1460,1450,1360,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame A Individuel,Smilla Thea Jensen,2003,KTK,DEN,Qualification_2,1,51.115,49.515,10,14.9,14.615,8.6,11.4,1,2,0,0,4,5,5,6,6,4,4,6,4,7,0,0,1585,1505,1450,1470,1430,1435,1440,1455,1445,1400,TRA FIG 2022,Complete
9ded7bdc-ed43-4777-7b5d-7a248c66bf12,2025-04-27,2025,DanCup2 - 2025,TRA,Dame B Individuel,Cecilie Neve,2011,Springteam Nordjylland,DEN,Final,3,42.495,42.495,10,13.4,14.095,8.8,6.2,1,1,0,0,6,7,6,4,6,7,7,6,5,10,2,0,1460,1480,1445,1430,1355,1380,1385,1430,1400,1330,TRA FIG 2022,Complete
